date,airport,direction,time,destination,flight,airline,duration,raw_text,scraped_at
2026-01-31,BKK,departure,03:50,MNL Manila,5J932,,3h 40m,03:50 | Cebu Pacific | MNL Manila | 5J932 | 3h 40m | DETAILS,2026-01-28T09:49:44.301520
2026-01-31,BKK,departure,04:05,XIY Xian,GJ8908,,3h 35m,04:05 | Loong Air | XIY Xian | GJ8908 | 3h 35m | DETAILS,2026-01-28T09:49:44.363397
2026-01-31,BKK,departure,04:15,BBI Bhubaneswar,6E1066,,2h 55m,04:15 | IndiGo | BBI Bhubaneswar | 6E1066 | 2h 55m | DETAILS,2026-01-28T09:49:44.424484
2026-01-31,BKK,departure,04:20,ASB Ashgabat,T5642,,7h 30m,04:20 | Turkmenistan Airlines | ASB Ashgabat | T5642 | 7h 30m | DETAILS,2026-01-28T09:49:44.486558
2026-01-31,BKK,departure,05:05,PVG Shanghai,FM848,,4h 30m,05:05 | Shanghai Airlines | PVG Shanghai | FM848 | 4h 30m | DETAILS,2026-01-28T09:49:44.564282
2026-01-31,BKK,departure,05:15,RGN Yangon,8M391,,1h 20m,05:15 | MAI | RGN Yangon | 8M391 | 1h 20m | DETAILS,2026-01-28T09:49:44.671591
2026-01-31,BKK,departure,05:40,KUL Kuala Lumpur,MH797,,2h 15m,05:40 | Malaysia Airlines | KUL Kuala Lumpur | MH797 | 2h 15m | DETAILS,2026-01-28T09:49:44.742074
2026-01-31,BKK,departure,05:50,IST Istanbul,TK59,,10h 40m,05:50 | Turkish Airlines | IST Istanbul | TK59 | 10h 40m | DETAILS,2026-01-28T09:49:44.807518
2026-01-31,BKK,departure,05:55,CCU Kolkata,6E1058,,2h 55m,05:55 | IndiGo | CCU Kolkata | 6E1058 | 2h 55m | DETAILS,2026-01-28T09:49:44.879897
2026-01-31,BKK,departure,06:00,USM Koh Samui,PG101,,1h 10m,06:00 | Bangkok Airways | USM Koh Samui | PG101 | 1h 10m | DETAILS,2026-01-28T09:49:45.147668
2026-01-31,BKK,departure,06:05,NST Nakhon Si Thammarat,VZ330,,1h 25m,06:05 | Vietjet Thailand | NST Nakhon Si Thammarat | VZ330 | 1h 25m | DETAILS,2026-01-28T09:49:45.207657
2026-01-31,BKK,departure,06:10,USM Koh Samui,PG109,,1h 35m,06:10 | Bangkok Airways | USM Koh Samui | PG109 | 1h 35m | DETAILS,2026-01-28T09:49:45.269728
2026-01-31,BKK,departure,06:20,USM Koh Samui,PG105,,1h 10m,06:20 | Bangkok Airways | USM Koh Samui | PG105 | 1h 10m | DETAILS,2026-01-28T09:49:45.329261
2026-01-31,BKK,departure,06:30,USM Koh Samui,PG107,,1h 35m,06:30 | Bangkok Airways | USM Koh Samui | PG107 | 1h 35m | DETAILS,2026-01-28T09:49:45.392059
2026-01-31,BKK,departure,06:30,CCU Kolkata,B3701,,2h 45m,06:30 | Bhutan Airlines | CCU Kolkata | B3701 | 2h 45m | DETAILS,2026-01-28T09:49:45.452379
2026-01-31,BKK,departure,06:30,CEI Chiang Rai,VZ130,,1h 25m,06:30 | Vietjet Thailand | CEI Chiang Rai | VZ130 | 1h 25m | DETAILS,2026-01-28T09:49:45.513053
2026-01-31,BKK,departure,06:35,KBV Krabi,FD4402,,1h 25m,06:35 | Thai AirAsia | KBV Krabi | FD4402 | 1h 25m | DETAILS,2026-01-28T09:49:45.579743
2026-01-31,BKK,departure,06:35,HDY Hat Yai,TG259,,1h 30m,06:35 | Thai Airways | HDY Hat Yai | TG259 | 1h 30m | DETAILS,2026-01-28T09:49:45.645223
2026-01-31,BKK,departure,06:35,CNX Chiang Mai,VZ100,,1h 25m,06:35 | Vietjet Thailand | CNX Chiang Mai | VZ100 | 1h 25m | DETAILS,2026-01-28T09:49:45.706297
2026-01-31,BKK,departure,06:50,CEI Chiang Rai,FD4150,,1h 20m,06:50 | Thai AirAsia | CEI Chiang Rai | FD4150 | 1h 20m | DETAILS,2026-01-28T09:49:45.786627
2026-01-31,BKK,departure,06:50,HKT Phuket,VZ314,,1h 35m,06:50 | Vietjet Thailand | HKT Phuket | VZ314 | 1h 35m | DETAILS,2026-01-28T09:49:45.870894
2026-01-31,BKK,departure,06:55,KKC Khon Kaen,TG40,,1h 0m,06:55 | Thai Airways | KKC Khon Kaen | TG40 | 1h 0m | DETAILS,2026-01-28T09:49:45.953223
2026-01-31,BKK,departure,06:55,UTH Udon Thani,TG2,,1h 5m,06:55 | Thai Airways | UTH Udon Thani | TG2 | 1h 5m | DETAILS,2026-01-28T09:49:46.016612
2026-01-31,BKK,departure,07:00,THS Sukhothai,PG211,,1h 20m,07:00 | Bangkok Airways | THS Sukhothai | PG211 | 1h 20m | DETAILS,2026-01-28T09:49:46.090684
2026-01-31,BKK,departure,07:00,USM Koh Samui,PG125,,1h 10m,07:00 | Bangkok Airways | USM Koh Samui | PG125 | 1h 10m | DETAILS,2026-01-28T09:49:46.211502
2026-01-31,BKK,departure,07:00,UBP Ubon Ratchathani,TG20,,1h 10m,07:00 | Thai Airways | UBP Ubon Ratchathani | TG20 | 1h 10m | DETAILS,2026-01-28T09:49:46.297906
2026-01-31,BKK,departure,07:00,DEL Delhi,TG323,,4h 25m,07:00 | Thai Airways | DEL Delhi | TG323 | 4h 25m | DETAILS,2026-01-28T09:49:46.369488
2026-01-31,BKK,departure,07:05,UTH Udon Thani,FD4350,,1h 5m,07:05 | Thai AirAsia | UTH Udon Thani | FD4350 | 1h 5m | DETAILS,2026-01-28T09:49:46.437105
2026-01-31,BKK,departure,07:05,KBV Krabi,PG261,,1h 30m,07:05 | Bangkok Airways | KBV Krabi | PG261 | 1h 30m | DETAILS,2026-01-28T09:49:46.508391
2026-01-31,BKK,departure,07:05,KBV Krabi,VZ340,,1h 25m,07:05 | Vietjet Thailand | KBV Krabi | VZ340 | 1h 25m | DETAILS,2026-01-28T09:49:46.604929
2026-01-31,BKK,departure,07:05,KKC Khon Kaen,VZ210,,1h 5m,07:05 | Vietjet Thailand | KKC Khon Kaen | VZ210 | 1h 5m | DETAILS,2026-01-28T09:49:46.675583
2026-01-31,BKK,departure,07:10,NRT Tokyo,NH806,,5h 55m,07:10 | ANA | NRT Tokyo | NH806 | 5h 55m | DETAILS,2026-01-28T09:49:46.750641
2026-01-31,BKK,departure,07:10,HDY Hat Yai,VZ320,,1h 30m,07:10 | Vietjet Thailand | HDY Hat Yai | VZ320 | 1h 30m | DETAILS,2026-01-28T09:49:46.813989
2026-01-31,BKK,departure,07:25,CNX Chiang Mai,TG102,,1h 20m,07:25 | Thai Airways | CNX Chiang Mai | TG102 | 1h 20m | DETAILS,2026-01-28T09:49:46.887007
2026-01-31,BKK,departure,07:25,KTI Phnom Penh,TG586,,1h 20m,07:25 | Thai Airways | KTI Phnom Penh | TG586 | 1h 20m | DETAILS,2026-01-28T09:49:46.979355
2026-01-31,BKK,departure,07:25,SAI Siem Reap,PG903,,1h 50m,07:25 | Bangkok Airways | SAI Siem Reap | PG903 | 1h 50m | DETAILS,2026-01-28T09:49:47.079744
2026-01-31,BKK,departure,07:30,URT Surat Thani,FD4212,,1h 25m,07:30 | Thai AirAsia | URT Surat Thani | FD4212 | 1h 25m | DETAILS,2026-01-28T09:49:47.185280
2026-01-31,BKK,departure,07:30,IXB Bagdogra,KB131,,3h 10m,07:30 | Drukair | IXB Bagdogra | KB131 | 3h 10m | DETAILS,2026-01-28T09:49:47.296381
2026-01-31,BKK,departure,07:30,USM Koh Samui,PG121,,1h 10m,07:30 | Bangkok Airways | USM Koh Samui | PG121 | 1h 10m | DETAILS,2026-01-28T09:49:47.358241
2026-01-31,BKK,departure,07:35,KBV Krabi,TG241,,1h 20m,07:35 | Thai Airways | KBV Krabi | TG241 | 1h 20m | DETAILS,2026-01-28T09:49:47.421910
2026-01-31,BKK,departure,07:40,HKT Phuket,TG201,,1h 30m,07:40 | Thai Airways | HKT Phuket | TG201 | 1h 30m | DETAILS,2026-01-28T09:49:47.482328
2026-01-31,BKK,departure,07:45,HAN Hanoi,TG560,,1h 50m,07:45 | Thai Airways | HAN Hanoi | TG560 | 1h 50m | DETAILS,2026-01-28T09:49:47.545289
2026-01-31,BKK,departure,07:45,SAI Siem Reap,TG588,,1h 0m,07:45 | Thai Airways | SAI Siem Reap | TG588 | 1h 0m | DETAILS,2026-01-28T09:49:47.612489
2026-01-31,BKK,departure,07:45,MNL Manila,TG620,,3h 10m,07:45 | Thai Airways | MNL Manila | TG620 | 3h 10m | DETAILS,2026-01-28T09:49:47.674115
2026-01-31,BKK,departure,07:45,SGN Ho Chi Minh City,TG550,,1h 30m,07:45 | Thai Airways | SGN Ho Chi Minh City | TG550 | 1h 30m | DETAILS,2026-01-28T09:49:47.733329
2026-01-31,BKK,departure,07:50,HKT Phuket,FD4124,,1h 40m,07:50 | Thai AirAsia | HKT Phuket | FD4124 | 1h 40m | DETAILS,2026-01-28T09:49:47.793640
2026-01-31,BKK,departure,07:50,KMG Kunming,MU9622,,2h 35m,07:50 | China Eastern | KMG Kunming | MU9622 | 2h 35m | DETAILS,2026-01-28T09:49:47.855353
2026-01-31,BKK,departure,07:55,HKG Hong Kong,CX756,,2h 50m,07:55 | Cathay Pacific | HKG Hong Kong | CX756 | 2h 50m | DETAILS,2026-01-28T09:49:47.916309
2026-01-31,BKK,departure,08:00,HKT Phuket,PG271,,1h 35m,08:00 | Bangkok Airways | HKT Phuket | PG271 | 1h 35m | DETAILS,2026-01-28T09:49:47.987250
2026-01-31,BKK,departure,08:00,HKT Phuket,TG203,,1h 25m,08:00 | Thai Airways | HKT Phuket | TG203 | 1h 25m | DETAILS,2026-01-28T09:49:48.069859
2026-01-31,BKK,departure,08:00,NRT Tokyo,TG676,,5h 50m,08:00 | Thai Airways | NRT Tokyo | TG676 | 5h 50m | DETAILS,2026-01-28T09:49:48.156651
