date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-03-28,BKKA,DMK,SNO,SNO,Nok Air,DD,6:05,7:20,1ชม.15นาที,Direct,868,฿868,2026-01-26 14:01:08,airpaz.com
2026-03-28,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:15,14:35,1ชม.20นาที,Direct,1179,"฿1,179",2026-01-26 14:01:08,airpaz.com
2026-03-28,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,6:50,8:05,1ชม.15นาที,Direct,1258,"฿1,258",2026-01-26 14:01:08,airpaz.com
2026-03-29,BKKA,DMK,SNO,SNO,Nok Air,DD,13:30,14:45,1ชม.15นาที,Direct,859,฿859,2026-01-26 14:01:36,airpaz.com
2026-03-29,BKKA,DMK,SNO,SNO,Nok Air,DD,7:15,8:30,1ชม.15นาที,Direct,868,฿868,2026-01-26 14:01:36,airpaz.com
2026-03-29,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,7:30,8:40,1ชม.10นาที,Direct,968,฿968,2026-01-26 14:01:36,airpaz.com
2026-03-29,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:35,14:50,1ชม.15นาที,Direct,984,฿984,2026-01-26 14:01:36,airpaz.com
2026-03-30,BKKA,DMK,SNO,SNO,Nok Air,DD,13:30,14:45,1ชม.15นาที,Direct,859,฿859,2026-01-26 14:02:05,airpaz.com
2026-03-30,BKKA,DMK,SNO,SNO,Nok Air,DD,7:15,8:30,1ชม.15นาที,Direct,868,฿868,2026-01-26 14:02:05,airpaz.com
2026-03-30,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:35,14:50,1ชม.15นาที,Direct,984,฿984,2026-01-26 14:02:05,airpaz.com
2026-03-30,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,7:30,8:40,1ชม.10นาที,Direct,1161,"฿1,161",2026-01-26 14:02:05,airpaz.com
2026-03-31,BKKA,DMK,SNO,SNO,Nok Air,DD,13:30,14:45,1ชม.15นาที,Direct,859,฿859,2026-01-26 14:02:33,airpaz.com
2026-03-31,BKKA,DMK,SNO,SNO,Nok Air,DD,6:30,7:45,1ชม.15นาที,Direct,868,฿868,2026-01-26 14:02:33,airpaz.com
2026-03-31,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,7:30,8:40,1ชม.10นาที,Direct,968,฿968,2026-01-26 14:02:33,airpaz.com
2026-03-31,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:35,14:50,1ชม.15นาที,Direct,984,฿984,2026-01-26 14:02:33,airpaz.com
2026-04-01,BKKA,DMK,SNO,SNO,Nok Air,DD,13:30,14:45,1ชม.15นาที,Direct,907,฿907,2026-01-26 14:03:03,airpaz.com
2026-04-01,BKKA,DMK,SNO,SNO,Nok Air,DD,7:15,8:30,1ชม.15นาที,Direct,917,฿917,2026-01-26 14:03:03,airpaz.com
2026-04-01,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,7:30,8:40,1ชม.10นาที,Direct,968,฿968,2026-01-26 14:03:03,airpaz.com
2026-04-01,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:35,14:50,1ชม.15นาที,Direct,984,฿984,2026-01-26 14:03:03,airpaz.com
2026-04-02,BKKA,DMK,SNO,SNO,Nok Air,DD,6:30,7:45,1ชม.15นาที,Direct,917,฿917,2026-01-26 14:03:31,airpaz.com
2026-04-02,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,7:30,8:40,1ชม.10นาที,Direct,968,฿968,2026-01-26 14:03:32,airpaz.com
2026-04-02,BKKA,DMK,SNO,SNO,Thai AirAsia,FD,13:35,14:50,1ชม.15นาที,Direct,984,฿984,2026-01-26 14:03:32,airpaz.com
