date,origin_group,dep_airport,arr_airport,destination,airline,airline_code,dep_time,arr_time,duration,stops,price_value,price_text,scraped_at,source
2026-03-31,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,07:55,09:00,1ชม.5นาที,Direct,1076,"฿1,076",2026-01-28T13:06:23.129713,airpaz.com
2026-04-01,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,13:00,14:00,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T13:06:51.337666,airpaz.com
2026-04-01,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,07:55,09:00,1ชม.5นาที,Direct,1076,"฿1,076",2026-01-28T13:06:51.365275,airpaz.com
2026-04-02,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,15:30,16:35,1ชม.5นาที,Direct,913,฿913,2026-01-28T13:07:20.204865,airpaz.com
2026-04-02,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,13:00,14:00,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T13:07:20.237187,airpaz.com
2026-04-02,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,07:55,09:00,1ชม.5นาที,Direct,1076,"฿1,076",2026-01-28T13:07:20.268852,airpaz.com
2026-04-03,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,07:55,09:00,1ชม.5นาที,Direct,1076,"฿1,076",2026-01-28T13:07:49.113355,airpaz.com
2026-04-03,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,13:00,14:00,1ชม.0นาที,Direct,1367,"฿1,367",2026-01-28T13:07:49.149671,airpaz.com
2026-04-04,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,15:30,16:35,1ชม.5นาที,Direct,1058,"฿1,058",2026-01-28T13:08:18.075561,airpaz.com
2026-04-04,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,07:55,09:00,1ชม.5นาที,Direct,1076,"฿1,076",2026-01-28T13:08:18.104989,airpaz.com
2026-04-04,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,13:00,14:00,1ชม.0นาที,Direct,1367,"฿1,367",2026-01-28T13:08:18.137011,airpaz.com
2026-04-05,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,13:00,14:00,1ชม.0นาที,Direct,1074,"฿1,074",2026-01-28T13:08:46.240700,airpaz.com
2026-04-05,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,07:55,09:00,1ชม.5นาที,Direct,1076,"฿1,076",2026-01-28T13:08:46.270681,airpaz.com
2026-04-06,BKKA,BKK,BFV,BFV,Thai AirAsia,FD,15:30,16:35,1ชม.5นาที,Direct,913,฿913,2026-01-28T13:10:02.759170,airpaz.com
2026-04-06,BKKA,DMK,BFV,BFV,Thai AirAsia,FD,07:55,09:00,1ชม.5นาที,Direct,1076,"฿1,076",2026-01-28T13:10:02.787760,airpaz.com
